"Index", "Height(Inches)"," "Weight(Pounds)", "Height/Weight Ratio (in/lb)"
1, 65.78, 112.99, 58.22
2, 71.52, 136.49, 52.4
3, 69.40, 153.03, 45.35
4, 68.22, 142.34, 47.93
5, 67.79, 144.30, 46.98
6, 68.70, 123.30, 55.72
7, 69.80, 141.49, 49.33
8, 70.01, 136.46, 51.3
9, 67.90, 112.37, 60.43
10, 66.78, 120.67, 55.34
11, 66.49, 127.45, 52.17
12, 67.62, 114.14, 59.24
13, 68.30, 125.61, 54.37
14, 67.12, 122.46, 54.81
15, 68.28, 116.09, 58.82
16, 71.09, 140.00, 50.78
17, 66.46, 129.50, 51.32
18, 68.65, 142.97, 48.02
19, 71.23, 137.90, 51.65
20, 67.13, 124.04, 54.12
21, 67.83, 141.28, 48.01
22, 68.88, 143.54, 47.99
23, 63.48, 97.90, 64.84
24, 68.42, 129.50, 52.83
25, 67.63, 141.85, 47.68
26, 67.21, 129.72, 51.81
27, 70.84, 142.42, 49.74
28, 67.49, 131.55, 51.3
29, 66.53, 108.33, 61.41
30, 65.44, 113.89, 57.46
31, 69.52, 103.30, 67.3
32, 65.81, 120.75, 54.5
33, 67.82, 125.79, 53.92
34, 70.60, 136.22, 51.83
35, 71.80, 140.10, 51.25
36, 69.21, 128.75, 53.76
37, 66.80, 141.80, 47.11
38, 67.66, 121.23, 55.81
39, 67.81, 131.35, 51.63
40, 64.05, 106.71, 60.02
41, 68.57, 124.36, 55.14
42, 65.18, 124.86, 52.2
43, 69.66, 139.67, 49.87
44, 67.97, 137.37, 49.48
45, 65.98, 106.45, 61.98
46, 68.67, 128.76, 53.33
47, 66.88, 145.68, 45.91
48, 67.70, 116.82, 57.95
49, 69.82, 143.62, 48.61
50, 69.09, 134.93, 51.2
51, 69.91, 147.02, 47.55
52, 67.33, 126.33, 53.3
53, 70.27, 125.48, 56.0
54, 69.10, 115.71, 59.72
55, 65.38, 123.49, 52.94
56, 70.18, 147.89, 47.45
57, 70.41, 155.90, 45.16
58, 66.54, 128.07, 51.96
59, 66.36, 119.37, 55.59
60, 67.54, 133.81, 50.47
61, 66.50, 128.73, 51.66
62, 69.00, 137.55, 50.16
63, 68.30, 129.76, 52.64
64, 67.01, 128.82, 52.02
65, 70.81, 135.32, 52.33
66, 68.22, 109.61, 62.24
67, 69.06, 142.47, 48.47
68, 67.73, 132.75, 51.02
69, 67.22, 103.53, 64.93
70, 67.37, 124.73, 54.01
71, 65.27, 129.31, 50.48
72, 70.84, 134.02, 52.86
73, 69.92, 140.40, 49.8
74, 64.29, 102.84, 62.51
75, 68.25, 128.52, 53.1
76, 66.36, 120.30, 55.16
77, 68.36, 138.60, 49.32
78, 65.48, 132.96, 49.25
79, 69.72, 115.62, 60.3
80, 67.73, 122.52, 55.28
81, 68.64, 134.63, 50.98
82, 66.78, 121.90, 54.78
83, 70.05, 155.38, 45.08
84, 66.28, 128.94, 51.4
85, 69.20, 129.10, 53.6
86, 69.13, 139.47, 49.57
87, 67.36, 140.89, 47.81
88, 70.09, 131.59, 53.26
89, 70.18, 121.12, 57.94
90, 68.23, 131.51, 51.88
91, 68.13, 136.55, 49.89
92, 70.24, 141.49, 49.64
93, 71.49, 140.61, 50.84
94, 69.20, 112.14, 61.71
95, 70.06, 133.46, 52.5
96, 70.56, 131.80, 53.54
97, 66.29, 120.03, 55.23
98, 63.43, 123.10, 51.53
99, 66.77, 128.14, 52.11
100, 68.89, 115.48, 59.66
101, 64.87, 102.09, 63.54
102, 67.09, 130.35, 51.47
103, 68.35, 134.18, 50.94
104, 65.61, 98.64, 66.51
105, 67.76, 114.56, 59.15
106, 68.02, 123.49, 55.08
107, 67.66, 123.05, 54.99
108, 66.31, 126.48, 52.43
109, 69.44, 128.42, 54.07
110, 63.84, 127.19, 50.19
111, 67.72, 122.06, 55.48
112, 70.05, 127.61, 54.89
113, 70.19, 131.64, 53.32
114, 65.95, 111.90, 58.94
115, 70.01, 122.04, 57.37
116, 68.61, 128.55, 53.37
117, 68.81, 132.68, 51.86
118, 69.76, 136.06, 51.27
119, 65.46, 115.94, 56.46
120, 68.83, 136.90, 50.28
121, 65.80, 119.88, 54.89
122, 67.21, 109.01, 61.65
123, 69.42, 128.27, 54.12
124, 68.94, 135.29, 50.96
125, 67.94, 106.86, 63.58
126, 65.63, 123.29, 53.23
127, 66.50, 109.51, 60.73
128, 67.93, 119.31, 56.94
129, 68.89, 140.24, 49.12
130, 70.24, 133.98, 52.43
131, 68.27, 132.58, 51.49
132, 71.23, 130.70, 54.5
133, 69.10, 115.56, 59.8
134, 64.40, 123.79, 52.02
135, 71.10, 128.14, 55.49
136, 68.22, 135.96, 50.18
137, 65.92, 116.63, 56.52
138, 67.44, 126.82, 53.18
139, 73.90, 151.39, 48.81
140, 69.98, 130.40, 53.67
141, 69.52, 136.21, 51.04
142, 65.18, 113.40, 57.48
143, 68.01, 125.33, 54.26
144, 68.34, 127.58, 53.57
145, 65.18, 107.16, 60.82
146, 68.26, 116.46, 58.61
147, 68.57, 133.84, 51.23
148, 64.50, 112.89, 57.14
149, 68.71, 130.76, 52.55
150, 68.89, 137.76, 50.01
151, 69.54, 125.40, 55.45
152, 67.40, 138.47, 48.67
153, 66.48, 120.82, 55.02
154, 66.01, 140.15, 47.1
155, 72.44, 136.74, 52.98
156, 64.13, 106.11, 60.44
157, 70.98, 158.96, 44.65
158, 67.50, 108.79, 62.05
159, 72.02, 138.78, 51.9
160, 65.31, 115.91, 56.35
161, 67.08, 146.29, 45.85
162, 64.39, 109.88, 58.6
163, 69.37, 139.05, 49.89
164, 68.38, 119.90, 57.03
165, 65.31, 128.31, 50.9
166, 67.14, 127.24, 52.77
167, 68.39, 115.23, 59.35
168, 66.29, 124.80, 53.12
169, 67.19, 126.95, 52.93
170, 65.99, 111.27, 59.31
171, 69.43, 122.61, 56.63
172, 67.97, 124.21, 54.72
173, 67.76, 124.65, 54.36
174, 65.28, 119.52, 54.62
175, 73.83, 139.30, 53.0
176, 66.81, 104.83, 63.73
177, 66.89, 123.04, 54.36
178, 65.74, 118.89, 55.29
179, 65.98, 121.49, 54.31
180, 66.58, 119.25, 55.83
181, 67.11, 135.02, 49.7
182, 65.87, 116.23, 56.67
183, 66.78, 109.17, 61.17
184, 68.74, 124.22, 55.34
185, 66.23, 141.16, 46.92
186, 65.96, 129.15, 51.07
187, 68.58, 127.87, 53.63
188, 66.59, 120.92, 55.07
189, 66.97, 127.65, 52.46
190, 68.08, 101.47, 67.09
191, 70.19, 144.99, 48.41
192, 65.52, 110.95, 59.05
193, 67.46, 132.86, 50.78
194, 67.41, 146.34, 46.06
195, 69.66, 145.59, 47.85
196, 65.80, 120.84, 54.45
197, 66.11, 115.78, 57.1
198, 68.24, 128.30, 53.19
199, 68.02, 127.47, 53.36
200, 71.39, 127.88 , 55.83
